year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1975,1,31,.0057832,.1331313,.1742894,.1858154,.1633935,.1343561,.2318258,.2380716,.1458304,.2395679,.12734807,.16850615,.1800322,.1576103,.12857281,.22604251,.23228832,.1400472,.23378468
1975,2,28,.0042908,.0581746,.077794,.0322736,.016267,.0638195,.1037292,.0565694,.0038924,.0378737,.05388378,.07350325,.02798278,.01197619,.05952873,.09943841,.05227857,-.00039837,.03358287
1975,3,31,.0040916,.0302382,.1263683,-.0056157,.1099301,-.0091417,.048028,.1251337,.0216636,.103639,.02614657,.12227668,-.00970736,.10583844,-.01323328,.04393635,.12104211,.01757202,.09954742
1975,4,30,.0043903,.0456424,.1116308,.0578915,.0908457,.0427721,-.036664,.0990305,.0329511,.009257,.04125201,.10724047,.05350113,.08645534,.03838174,-.04105433,.09464017,.02856075,.00486667
1975,5,31,.0043903,.0547722,.1116308,.0338215,-.0521358,.0688729,.0484091,.0018982,.0476467,.0439212,.05038189,.10724047,.0294312,-.0565261,.06448252,.04401879,-.00249215,.04325631,.03953084
1975,6,30,.0040916,.0510733,.0978524,.1218636,.0617534,.0055844,.0345946,.0437298,.0511683,.0742722,.04698165,.09376078,.11777197,.05766178,.00149276,.03050303,.03963814,.04707667,.07018063
1975,7,31,.0047885,-.0630463,-.0822952,-.0397809,-.0681718,-.0066219,-.0457298,-.0661398,-.0719257,-.0847957,-.06783482,-.08708376,-.04456939,-.0729603,-.01141039,-.05051837,-.07092832,-.07671426,-.08958417
1975,8,31,.0047885,-.0239854,.007869,-.0799094,.0367176,-.0948603,-.0474061,-.0453112,-.0444745,.0044899,-.02877388,.00308044,-.0846979,.03192907,-.0996488,-.05219464,-.05009974,-.04926301,-.00029861
1975,9,30,.005286,-.0380134,-.0325232,-.0633659,-.0539283,-.0886127,-.058689,-.0544562,-.0630463,-.0363528,-.04329945,-.0378092,-.06865188,-.05921435,-.09389866,-.063975,-.05974219,-.06833231,-.04163883
1975,10,31,.0055844,.0570417,.0250828,.0621294,-.0286053,-.0285024,.0084641,-.0092426,.0563803,.1002073,.05145736,.0194984,.05654499,-.03418963,-.03408674,.0028797,-.01482696,.05079596,.09462288
1975,11,30,.0040916,.0301412,-.0187752,.0689662,.0160702,.0801965,.0253753,.062787,.031111,.0429637,.02604954,-.02286677,.06487459,.01197856,.07610493,.02128369,.05869537,.02701938,.03887208
1975,12,31,.0047885,-.0112632,-.0330399,-.0293258,.0210763,-.0404054,.0044899,-.0296348,.004689,-.0380134,-.01605171,-.03782837,-.03411435,.01628781,-.04519393,-.00029861,-.03442332,-.00009953,-.04280196
1976,1,31,.004689,.1189379,.1718503,.1562342,.1925194,.1283932,.1478164,.207258,.1297994,.0760347,.11424894,.16716127,.15154523,.18783039,.12370422,.14312739,.20256906,.12511045,.0713457
1976,2,28,.0033942,.0065783,.043251,.0785339,.0508832,.0597772,.0164637,.0565694,.032564,.0416217,.00318408,.03985681,.07513965,.04748898,.05638297,.01306949,.05317512,.02916976,.03822744
1976,3,31,.003992,.026934,.0618474,.0107421,-.0004001,.0500275,.0031949,-.0199986,.0200967,.0421012,.02294198,.05785538,.00675008,-.0043921,.04603547,-.00079713,-.02399067,.01610468,.03810916
1976,4,30,.0041912,-.0107577,.0440169,.022544,.0135084,-.0485602,-.043534,.0370067,-.0161294,-.0528735,-.01494886,.03982568,.01835276,.00931715,-.05275139,-.04772521,.03281552,-.02032059,-.0570647
1976,5,31,.0036932,-.0097474,.0246926,.0708312,.0040916,-.0388448,-.0556184,.006479,-.0159262,-.0656058,-.01344052,.02099944,.06713801,.00039845,-.04253796,-.05931159,.00278579,-.01961932,-.06929893
1976,6,30,.0042908,.0438255,.1118991,.0538251,.0461199,.0859024,.0559076,.0381625,.0455468,.0081666,.0395347,.10760831,.04953431,.04182915,.08161165,.05161685,.03387168,.04125603,.00387578
1976,7,31,.004689,-.0060181,-.0492953,.0324672,-.0244976,-.0077298,-.0041084,.0134097,.0006998,-.018164,-.01070706,-.05398428,.0277782,-.02918662,-.01241879,-.00879742,.0087207,-.00398923,-.02285296
1976,8,31,.0041912,-.001401,.0022974,-.0005001,-.036664,.015578,-.0096464,-.0551956,-.0034058,.0462154,-.00559219,-.00189385,-.00469133,-.04085519,.01138683,-.01383758,-.05938684,-.007597,.04202422
1976,9,30,.0043903,.0246926,.0434426,-.0318003,.0165621,.0149871,-.0224501,-.0021022,.0141001,.003992,.02030226,.03905221,-.03619066,.01217174,.01059678,-.02684048,-.00649256,.00970978,-.00039833
1976,10,31,.0040916,-.0203048,-.0626204,-.0104545,-.06145,-.0707444,-.0282966,-.0378057,.0043903,-.0026034,-.02439637,-.06671198,-.01454608,-.06554158,-.07483602,-.03238822,-.04189733,.00029873,-.006695
