year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,eR_Market,FF_SMB_Factor,FF_HML_Factor,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail
1975,1,31,0.0057832,0.1331313,0.1742894,0.1858154,0.1633935,0.1343561,0.2318258,0.2380716,0.1458304,0.2395679,0.12734807,0.1044501,0.078996,0.16850615,0.1800322,0.1576103,0.12857281,0.22604251,0.23228832,0.1400472,0.23378468,0.09675214,0.09368548,0.02817088,-0.01267925
1975,2,28,0.0042908,0.0581746,0.077794,0.0322736,0.016267,0.0638195,0.1037292,0.0565694,0.0038924,0.0378737,0.05388378,0.0016986,-0.0460439,0.07350325,0.02798278,0.01197619,0.05952873,0.09943841,0.05227857,-0.00039837,0.03358287,-0.03212925,-0.03110624,-0.02194587,-0.06500779
1975,3,31,0.0040916,0.0302382,0.1263683,-0.0056157,0.1099301,-0.0091417,0.048028,0.1251337,0.0216636,0.103639,0.02614657,0.0370067,0.0238142,0.12227668,-0.00970736,0.10583844,-0.01323328,0.04393635,0.12104211,0.01757202,0.09954742,-0.15624424,-0.13509938,-0.13159952,-0.09323744
1975,4,30,0.0043903,0.0456424,0.1116308,0.0578915,0.0908457,0.0427721,-0.036664,0.0990305,0.0329511,0.009257,0.04125201,-0.0052136,-0.0111621,0.10724047,0.05350113,0.08645534,0.03838174,-0.04105433,0.09464017,0.02856075,0.00486667,0.02967577,-0.05199002,0.04082989,0.03292998
1975,5,31,0.0043903,0.0547722,0.1116308,0.0338215,-0.0521358,0.0688729,0.0484091,0.0018982,0.0476467,0.0439212,0.05038189,0.0376811,-0.0416557,0.10724047,0.0294312,-0.0565261,0.06448252,0.04401879,-0.00249215,0.04325631,0.03953084,0.08505861,0.04887991,0.07820207,0.08350857
1975,6,30,0.0040916,0.0510733,0.0978524,0.1218636,0.0617534,0.0055844,0.0345946,0.0437298,0.0511683,0.0742722,0.04698165,0.0076705,0.0127188,0.09376078,0.11777197,0.05766178,0.00149276,0.03050303,0.03963814,0.04707667,0.07018063,0.03053971,0.02046309,0.04622631,0.01851358
1975,7,31,0.0047885,-0.0630463,-0.0822952,-0.0397809,-0.0681718,-0.0066219,-0.0457298,-0.0661398,-0.0719257,-0.0847957,-0.06783482,0.0264472,0.0167588,-0.08708376,-0.04456939,-0.0729603,-0.01141039,-0.05051837,-0.07092832,-0.07671426,-0.08958417,0.08107517,0.11009414,0.04197919,0.09943431
1975,8,31,0.0047885,-0.0239854,0.007869,-0.0799094,0.0367176,-0.0948603,-0.0474061,-0.0453112,-0.0444745,0.0044899,-0.02877388,-0.0325232,-0.0090407,0.00308044,-0.0846979,0.03192907,-0.0996488,-0.05219464,-0.05009974,-0.04926301,-0.00029861,0.00614167,0.06575499,0.02366451,-0.00368325
1975,9,30,0.005286,-0.0380134,-0.0325232,-0.0633659,-0.0539283,-0.0886127,-0.058689,-0.0544562,-0.0630463,-0.0363528,-0.04329945,-0.0013008,0.0034939,-0.0378092,-0.06865188,-0.05921435,-0.09389866,-0.063975,-0.05974219,-0.06833231,-0.04163883,0.0030722,0.06205405,0.03520426,-0.01530259
1975,10,31,0.0055844,0.0570417,0.0250828,0.0621294,-0.0286053,-0.0285024,0.0084641,-0.0092426,0.0563803,0.1002073,0.05145736,-0.0410303,0.0029955,0.0194984,0.05654499,-0.03418963,-0.03408674,0.0028797,-0.01482696,0.05079596,0.09462288,-0.00476617,0.02542924,0.01582265,-0.02812842
1975,11,30,0.0040916,0.0301412,-0.0187752,0.0689662,0.0160702,0.0801965,0.0253753,0.062787,0.031111,0.0429637,0.02604954,-0.0119714,0.0197046,-0.02286677,0.06487459,0.01197856,0.07610493,0.02128369,0.05869537,0.02701938,0.03887208,-0.00775583,0.12654887,0.08684628,-0.00089184
1975,12,31,0.0047885,-0.0112632,-0.0330399,-0.0293258,0.0210763,-0.0404054,0.0044899,-0.0296348,0.004689,-0.0380134,-0.01605171,-0.007629,0.0174469,-0.03782837,-0.03411435,0.01628781,-0.04519393,-0.00029861,-0.03442332,-0.00009953,-0.04280196,-0.05456637,-0.10195545,-0.01652108,-0.01061781
1976,1,31,0.004689,0.1189379,0.1718503,0.1562342,0.1925194,0.1283932,0.1478164,0.207258,0.1297994,0.0760347,0.11424894,0.046979,0.0822249,0.16716127,0.15154523,0.18783039,0.12370422,0.14312739,0.20256906,0.12511045,0.0713457,0.03424459,-0.09764862,-0.04867141,-0.00595594
